app_id,app_name,avatar_user,user,country_user,city_user,account_date_user,week_activity_user,money_spent_user,usage_time_user
1,Bigtax,https://robohash.org/nameumdoloribus.png?size=50x50&set=set1,lwogden0,Peru,Yunga,08/03/2021,true,"9294,73 PLN",809
2,Redhold,https://robohash.org/dolordoloremnostrum.png?size=50x50&set=set1,awhitfeld1,China,Pingdong,25/11/2007,false,"5474,75 PLN",2000
3,Latlux,https://robohash.org/doloremdolorin.png?size=50x50&set=set1,vwistance2,Peru,Castrovirreyna,23/11/2008,true,"8219,27 PLN",1689
4,Quo Lux,https://robohash.org/impeditsedaspernatur.png?size=50x50&set=set1,bnials3,China,Hutang,07/03/2012,true,"828,65 PLN",1429
5,Matsoft,https://robohash.org/nonsuscipitfugiat.png?size=50x50&set=set1,plinster4,Nigeria,Uga,15/06/2014,false,"90,24 PLN",1703
6,Tempsoft,https://robohash.org/minimafugiataliquid.png?size=50x50&set=set1,bfedynski5,Russia,Svetlyy,11/03/2022,false,"6085,28 PLN",1811
7,Y-Solowarm,https://robohash.org/inventoreiurequia.png?size=50x50&set=set1,emitham6,Indonesia,Wates,29/12/2015,false,"0767,71 PLN",1741
8,Matsoft,https://robohash.org/autemenimqui.png?size=50x50&set=set1,llindblad7,Chad,Béboto,04/08/2015,false,"0,29 PLN",1158
9,Lotstring,https://robohash.org/sequietipsum.png?size=50x50&set=set1,rroll8,Brazil,Lages,11/03/2022,false,"2,84 PLN",1770
10,Flowdesk,https://robohash.org/remrationeaccusamus.png?size=50x50&set=set1,cllywarch9,Czech Republic,Loučná nad Desnou,15/12/2012,true,"5053,09 PLN",1716
11,Voyatouch,https://robohash.org/expeditaanimipariatur.png?size=50x50&set=set1,mmccrawa,Philippines,Lemery,10/05/2007,false,"2920,93 PLN",1302
12,Domainer,https://robohash.org/quamatdoloremque.png?size=50x50&set=set1,cgraberb,Indonesia,Cipari,04/04/2022,true,"490,34 PLN",1631
13,Ventosanzap,https://robohash.org/seddoloremerror.png?size=50x50&set=set1,lfugglec,Serbia,Gardinovci,05/07/2011,true,"0393,59 PLN",1251
14,Fintone,https://robohash.org/illumullamalias.png?size=50x50&set=set1,mwalentad,China,Wenxing,07/04/2017,false,"4251,06 PLN",1652
15,Latlux,https://robohash.org/aperiampossimusnam.png?size=50x50&set=set1,bmcclymonde,Russia,Makar’yev,10/05/2014,false,"3,34 PLN",1374
16,Job,https://robohash.org/aliquidbeataequod.png?size=50x50&set=set1,spassmoref,Czech Republic,Horní Bečva,12/09/2006,true,"4962,65 PLN",1413
17,Cardguard,https://robohash.org/adoloreset.png?size=50x50&set=set1,sbutterwickg,Tanzania,Katumba,27/12/2018,false,"59,67 PLN",1209
18,Treeflex,https://robohash.org/fugitconsequunturvel.png?size=50x50&set=set1,drotherh,Indonesia,Karangbadar Kidul,08/01/2015,true,"102,35 PLN",1053
19,Asoka,https://robohash.org/quoscorporisarchitecto.png?size=50x50&set=set1,amorrowi,United States,San Diego,28/01/2021,false,"5577,86 PLN",1915
20,Alpha,https://robohash.org/maximeanimiasperiores.png?size=50x50&set=set1,mgoodspeedj,Russia,Perovo,24/05/2015,false,"1469,10 PLN",926
21,Fix San,https://robohash.org/utrepellatid.png?size=50x50&set=set1,dmcilwreathk,Portugal,Loivos,03/10/2010,false,"3,26 PLN",837
22,Trippledex,https://robohash.org/illodoloreveniet.png?size=50x50&set=set1,tsecretanl,Canada,Oshawa,16/02/2011,false,"01,26 PLN",1149
23,Wrapsafe,https://robohash.org/doloremutmolestias.png?size=50x50&set=set1,krodriguesm,China,Banqiao,10/11/2014,false,"1,85 PLN",1957
24,Daltfresh,https://robohash.org/sapientemollitiaratione.png?size=50x50&set=set1,mbrattann,Malaysia,Johor Bahru,07/12/2020,false,"4155,14 PLN",946
25,Treeflex,https://robohash.org/quimollitiadoloribus.png?size=50x50&set=set1,tkonzelmanno,Portugal,Odeleite,11/10/2006,false,"0411,31 PLN",1164
26,Transcof,https://robohash.org/sitindolores.png?size=50x50&set=set1,eeassomp,Czech Republic,Zlín,24/10/2015,false,"4172,08 PLN",999
27,Matsoft,https://robohash.org/vitaeisteconsequatur.png?size=50x50&set=set1,troelofsenq,Colombia,Bagadó,30/12/2012,false,"46,76 PLN",1079
28,Sonsing,https://robohash.org/praesentiumevenietest.png?size=50x50&set=set1,bkarchewskir,Sweden,Boxholm,16/06/2012,false,"0986,26 PLN",943
29,Tin,https://robohash.org/temporanobisiste.png?size=50x50&set=set1,mrodders,Brazil,Campos Gerais,17/09/2013,false,"853,96 PLN",1380
30,Holdlamis,https://robohash.org/laboresuntnatus.png?size=50x50&set=set1,stummasuttit,Philippines,Flora,25/09/2019,false,"8481,37 PLN",1601
31,Lotlux,https://robohash.org/architectoiureeum.png?size=50x50&set=set1,vtommaseou,Philippines,Quipot,15/04/2022,true,"51,25 PLN",1438
32,Domainer,https://robohash.org/utmaioresoptio.png?size=50x50&set=set1,bpiddockev,Portugal,Arrabal,15/03/2009,false,"6,84 PLN",1395
33,Fix San,https://robohash.org/autemrepudiandaeest.png?size=50x50&set=set1,ybryersw,China,Pingle,08/08/2010,true,"314,51 PLN",1694
34,Voltsillam,https://robohash.org/facilismaioreseum.png?size=50x50&set=set1,dmarrisx,Philippines,Santa Teresa First,20/03/2008,true,"5,35 PLN",895
35,Span,https://robohash.org/liberoquamaut.png?size=50x50&set=set1,ogarsidey,Indonesia,Sentul,28/10/2015,false,"855,52 PLN",843
36,Temp,https://robohash.org/veniamlaboreet.png?size=50x50&set=set1,ctacklez,Japan,Kanuma,15/09/2019,false,"6976,38 PLN",1140
37,Tresom,https://robohash.org/omnisautest.png?size=50x50&set=set1,cnutten10,Cuba,Jatibonico,05/03/2012,true,"42,89 PLN",1896
38,Sonsing,https://robohash.org/nequeinnon.png?size=50x50&set=set1,pverzey11,Cyprus,Paphos,12/02/2020,true,"1952,38 PLN",1460
39,Zamit,https://robohash.org/adipisciducimuscupiditate.png?size=50x50&set=set1,bdignum12,Russia,Pervomayskoye,01/10/2021,false,"71,35 PLN",1020
40,Gembucket,https://robohash.org/etmagnamnesciunt.png?size=50x50&set=set1,jtippett13,Japan,Fukuroi,03/08/2016,false,"6260,92 PLN",1713
41,Bitwolf,https://robohash.org/consequatureatotam.png?size=50x50&set=set1,mbabin14,Indonesia,Kebonan,30/08/2021,true,"28,08 PLN",994
42,Stim,https://robohash.org/etmolestiaebeatae.png?size=50x50&set=set1,nnewing15,Colombia,Ráquira,28/06/2020,true,"284,67 PLN",1404
43,Hatity,https://robohash.org/oditsinta.png?size=50x50&set=set1,dcomar16,Colombia,Gachalá,12/03/2009,true,"8,40 PLN",803
44,Andalax,https://robohash.org/teneturutdebitis.png?size=50x50&set=set1,anelthrop17,Japan,Toyohama,04/07/2020,false,"0475,20 PLN",1082
45,Trippledex,https://robohash.org/utrerumet.png?size=50x50&set=set1,jquibell18,Portugal,Cimo de Vila,30/01/2020,false,"3,59 PLN",1714
46,Flowdesk,https://robohash.org/aliasfugiatcorporis.png?size=50x50&set=set1,mbeaby19,Kazakhstan,Ordzhonikidze,26/11/2020,false,"70,79 PLN",1121
47,Alphazap,https://robohash.org/cupiditateexcepturiminima.png?size=50x50&set=set1,bdrysdall1a,Philippines,Magay,18/03/2015,false,"1,07 PLN",1001
48,Duobam,https://robohash.org/voluptasaadipisci.png?size=50x50&set=set1,lwoolfoot1b,Sweden,Sundsvall,19/01/2022,true,"1675,18 PLN",1901
49,Daltfresh,https://robohash.org/laboriosamvoluptaspariatur.png?size=50x50&set=set1,gerat1c,China,Wuyao,09/08/2007,true,"299,26 PLN",1819
50,Domainer,https://robohash.org/remautquisquam.png?size=50x50&set=set1,aclouter1d,Denmark,Frederiksberg,12/02/2016,false,"98,28 PLN",1533
51,Toughjoyfax,https://robohash.org/remetnostrum.png?size=50x50&set=set1,dsmylie1e,Philippines,Cartagena,08/02/2008,true,"3028,80 PLN",1177
52,Voltsillam,https://robohash.org/pariaturautad.png?size=50x50&set=set1,rgillbard1f,Russia,Kochevo,13/07/2009,false,"325,54 PLN",1709
53,Ventosanzap,https://robohash.org/quiquiaest.png?size=50x50&set=set1,sbillingsly1g,Indonesia,Brengkok,22/08/2018,true,"87,22 PLN",966
54,Holdlamis,https://robohash.org/magnamexplicaboquam.png?size=50x50&set=set1,blangelay1h,Portugal,Castanheira,11/03/2008,false,"1656,36 PLN",870
55,Asoka,https://robohash.org/voluptateearumeos.png?size=50x50&set=set1,wfancott1i,Philippines,Sinuknipan,03/09/2012,false,"798,88 PLN",1727
56,Andalax,https://robohash.org/accusantiumquaeratdolorem.png?size=50x50&set=set1,cinnott1j,South Africa,Matatiele,16/04/2011,true,"12,55 PLN",972
57,Span,https://robohash.org/quasiametcorporis.png?size=50x50&set=set1,fsevin1k,Greece,Pyrgetós,28/10/2015,false,"90,34 PLN",1119
58,Flexidy,https://robohash.org/corruptiquisvero.png?size=50x50&set=set1,esindell1l,China,Yudaikelike,30/03/2007,true,"4,66 PLN",1992
59,Fixflex,https://robohash.org/assumendasitquasi.png?size=50x50&set=set1,abiggin1m,Russia,Staryy Togul,30/11/2008,true,"2698,83 PLN",866
60,Bytecard,https://robohash.org/etfaceresint.png?size=50x50&set=set1,cvicent1n,Malaysia,Johor Bahru,01/06/2022,true,"46,24 PLN",1850
61,Alpha,https://robohash.org/quisitlabore.png?size=50x50&set=set1,sgrievson1o,Brazil,Jacaraú,05/03/2020,true,"0081,60 PLN",905
62,Cardify,https://robohash.org/impeditnobissint.png?size=50x50&set=set1,csleney1p,Morocco,Sidi Moussa,04/01/2021,true,"0345,92 PLN",1340
63,Bamity,https://robohash.org/etrationeet.png?size=50x50&set=set1,mpedrollo1q,Argentina,Embarcación,08/11/2018,false,"5,51 PLN",1808
64,Quo Lux,https://robohash.org/oditestomnis.png?size=50x50&set=set1,bcello1r,China,Huangcun,22/06/2022,false,"3792,75 PLN",1478
65,Prodder,https://robohash.org/repellendusrerumsapiente.png?size=50x50&set=set1,dwillcocks1s,Brazil,Brumado,23/08/2006,false,"4,51 PLN",1902
66,Subin,https://robohash.org/quaeratnemonatus.png?size=50x50&set=set1,aewart1t,Indonesia,Panggunguni,09/09/2016,false,"07,01 PLN",1718
67,Quo Lux,https://robohash.org/accusantiumoccaecatimodi.png?size=50x50&set=set1,wlabba1u,Brazil,Aquiraz,29/08/2010,true,"6,36 PLN",1994
